Código HS 1992,Product Name EN,Nombre Producto ES,Sección Atlas,Sección 2 dígitos,Índice de complejidad de producto (ICP),Ranking de complejidad producto,Tendencia mercado 2014-2019 (nominal / share),Potencial exportador,FOB Tierra del Fuego,VCR Tierra del Fuego,Compatibilidad con Tierra del Fuego,Valor estratégico para Tierra del Fuego,Indice Recuperacion de posiciones - Tierra del Fuego,Indice Oportunidades cercanas - Tierra del Fuego,Indice Objetivos factibles - Tierra del Fuego,Indice Apuestas ambiciosas - Tierra del Fuego,Top 20 criterios Tierra del Fuego,Empleo 2021,Empresas 2020,Tasa fem
21019,Cured pork,"Las demas carnes de porcinos saladas o en salmuera, secas o ahumadas.",Agricultura, I Animales vivos; productos animales,0.841587698677567,1043,Decreció / Decreció,17653033.7431694,0.0,0.0,-0.814812170629245,0.484549322766715,0,-0.389299885019372,-0.158691823418893,0.18400046872564,,29,4,0.0959626348348781
21020,Cured beef,"Carne de bovinos salada o en salmuera, seca o ahumada.",Agricultura, I Animales vivos; productos animales,-0.14461267008568,2671,Creció / Creció,1941828.68579235,0.0,0.0,-0.25795655364188,0.0644996624428917,0,-0.182130922069305,-0.154673722909447,-0.0845152855146825,,29,4,0.0959626348348781
21090,Cured meat and offal,"Los demas, incluidos la harina y el polvo comestible, de carne o despo",Agricultura, I Animales vivos; productos animales,-0.0501410433336979,2525,Decreció mucho / Decreció mucho,6099405.03278689,0.0,0.0,0.25160639358128,-1.21566168288468,0,-0.072021965403409,-0.175560112918205,-0.484101100057145,,29,4,0.0959626348348781
30110,Live ornamental fish,"Peces ornamentales, vivos.",Agricultura, I Animales vivos; productos animales,-1.07092002249008,3907,Creció / Se mantuvo,2083891.56284153,0.0,0.0,1.80867947925301,-0.601900298492363,0,1.03860357352963,0.630114634468049,0.00401870383182018,,522,5,0.0919671462589877
30191,Live trout,"Truchas, vivas.",Agricultura, I Animales vivos; productos animales,-0.228193142187676,2808,Creció / Creció,882861.87431694,0.0,0.0,-0.476067673559584,-0.222955957539465,0,-0.400657877218369,-0.363214838280172,-0.300198768507553,,522,5,0.0919671462589877
30192,Live eels,Anguilas vivas.,Agricultura, I Animales vivos; productos animales,-0.76847703700699,3520,Creció mucho / Creció,3887181.19672131,0.0,0.0,0.144480406852709,-0.76112854699451,0,-0.127937128302705,-0.264513320381035,-0.491282983343464,,522,5,0.0919671462589877
30193,Live carp,Carpas vivas.,Agricultura, I Animales vivos; productos animales,0.212230678683587,2118,Decreció / Decreció,1213960.52732241,0.0,0.0,-0.998997909867423,-0.792141550777757,0,-0.836503779194389,-0.705038102384805,-0.603105401139321,,522,5,0.0919671462589877
30199,Other live fish,Los demas peces vivos.,Agricultura, I Animales vivos; productos animales,-1.25116865630303,4080,Creció / Decreció,5396004.42896175,0.0,0.0,1.29609405130035,-0.723045052578341,0,0.637539959764271,0.28185673381,-0.249334222345907,,522,5,0.0919671462589877
30211,Trout,"Truchas frescas o refrigeradas, excluidos filete, higado, huevas, lech",Agricultura, I Animales vivos; productos animales,-0.339593355987827,2966,Creció / Creció,3877227.02732241,5148.07006835938,0.922988584996567,-0.215748689546515,0.145584728693621,1,-0.155866472542619,-0.150184268274743,-0.0841098179487817,"Recuperación de posiciones, Trayectoria productiva",522,5,0.0919671462589877
30212,Salmon,"Salmones del pacifico, atlantico y danubio, fresco o refrigerado.",Agricultura, I Animales vivos; productos animales,0.772492132676763,1156,Creció mucho / Creció mucho,100694279.092896,0.0,0.0,0.806810542073079,-1.39201773903913,0,0.363613044911005,0.250239789915763,-0.191241786776496,,522,5,0.0919671462589877
30219,"Salmonids, nes","Los demas salmonidos, frescos o refrigerados, excluido filete, higados",Agricultura, I Animales vivos; productos animales,-1.32227274874004,4153,Decreció / Decreció,1468895.89344262,0.0,0.0,1.69487608838825,-0.450813617563467,0,0.964023263485077,0.555023894474662,-0.0249714885720961,,522,5,0.0919671462589877
30221,Halibut,"Halibut fresco o refrigerads excluidos filetes, higados, huevas.",Agricultura, I Animales vivos; productos animales,1.22748990040112,503,Creció / Creció,1302024.09289618,0.0,0.0,1.24518057951056,-1.5688222234441,0,0.680610951008682,0.538141742950006,-0.0255433515963981,,522,5,0.0919671462589877
30222,Pollock,"Sollas frescas o refrigeradas, excluidos filete, higados, huevas y lec",Agricultura, I Animales vivos; productos animales,0.966124097948245,862,Se mantuvo / Se mantuvo,465088.202185792,0.0,0.0,-0.749695379216172,-0.716478062198369,0,-0.57146996809617,-0.398227154528838,-0.305792717267057,,522,5,0.0919671462589877
30223,Sole,"Lenguados frescos o refrigerados, excluidos filetes, higado, huevas, l",Agricultura, I Animales vivos; productos animales,-0.821205310088106,3594,Decreció / Decreció,1261264.75409836,0.0,0.0,0.660399839665423,-0.369742085365094,0,0.306210939683967,0.106543328457088,-0.173565314036692,,522,5,0.0919671462589877
30229,Flatfish,"Los demas pescados planos, frescos o refrigerados, excluidos: filetes,",Agricultura, I Animales vivos; productos animales,-1.45183336604801,4263,Creció / Creció,2932782.13387978,0.0,0.0,1.60378783662085,-0.540831544518085,0,0.869301840126179,0.456508750802345,-0.125196185558886,,522,5,0.0919671462589877
30231,Albacore,"Albacoras o atunes blancos, frescos o refrigerados excl. higados, huev",Agricultura, I Animales vivos; productos animales,-1.35043003249272,4179,Decreció / Se mantuvo,435462.183060109,0.0,0.0,1.02487009225121,-1.04065113651396,0,0.374235834023781,0.0334297601111305,-0.498439491879098,,522,5,0.0919671462589877
30232,Yellowfin tuna,"Atunes de aleta amarilla, frescos o refrigerados, excluido higados, hu",Agricultura, I Animales vivos; productos animales,-1.67290258664479,4407,Decreció / Decreció,1589587.96174863,0.0,0.0,2.68704794506702,-1.11898332438887,0,1.48984663800466,0.863550021360683,-0.115653759116085,,522,5,0.0919671462589877
30233,Bonito,"Listados o bonitos de vientre rayado frescos o refrigerados, excluido",Agricultura, I Animales vivos; productos animales,-0.951144981337605,3758,Se mantuvo / Se mantuvo,72103.2158469945,0.0,0.0,0.44869365163969,-0.416776568435776,0,0.135615744326867,-0.0476416299746354,-0.290727605638594,,522,5,0.0919671462589877
30239,"Tuna, nes","Los demas atunes, frescos o refrigerados, excluido los higados, huevas",Agricultura, I Animales vivos; productos animales,-1.46881152050741,4275,Decreció / Decreció,2517857.79781421,0.0,0.0,2.51235333039248,-0.90092259357385,0,1.43158166050922,0.862801379220918,-0.0189120481173418,,522,5,0.0919671462589877
30240,Herring,"Arenques frescos o refrigerados, excludos filetes, higados, huevas y l",Agricultura, I Animales vivos; productos animales,0.152458398016441,2226,Decreció / Decreció,864529.680327869,0.0,0.0,0.693368592540108,-0.43864224062439,0,0.412875406454841,0.30218384534425,0.0487361689851671,,522,5,0.0919671462589877
30250,Cod,"Bacalaos frescos o refrigerados, excluidos filetes, higados, huevas y",Agricultura, I Animales vivos; productos animales,0.0492737896939655,2383,Creció / Creció,4450459.12295082,0.0,0.0,0.344354171983566,-1.30287391347289,0,-0.0145994833366861,-0.126468925838469,-0.470668562044241,,522,5,0.0919671462589877
